Date,Product_ID,Price,Quantity_Sold,Sale_Country_Code
7/5/2022 14:16,1084,21.94,66,US
9/14/2023 2:58,1065,29.53,49,DE
12/18/2021 1:26,1089,41.12,33,UK
3/4/2021 14:39,1024,20.31,81,UK
7/10/2022 10:20,1062,40.49,5,UK
8/12/2021 15:13,1066,24.77,76,UK
5/7/2020 15:35,1043,31.87,38,CA
7/26/2021 17:21,1044,37.31,25,CA
9/14/2023 20:50,1079,39.83,8,CA
12/16/2021 23;53,,,,US
4/8/2022 19:54,1068,32.59,43,UK
7/5/2023 13:56,1030,47.62,44,AU
6/1/2022 15:09,1035,47.41,29,CA
3/15/2023 9:14,1062,44.51,80,AU
12/5/2023 11:18,1093,31.1,2,AU
1/27/2020 7:17,1037,"""40.84""",18,AU
12/22/2022 21:06,1041,48.17,60,UK
10/20/2022 4:58,1098,44.74,77,DE
10/3/2022 7:12,1058,44.46,49,AU
11/24/2021 13:47,1063,20.49,37,US
6/4/2021 2:20,1075,38.84,96,AU
10/31/2020 21:16,1087,38.24,62,US
10/4/2023 13:14,1089,28.11,67,US
1/23/2023 3:44,1033,45.11,50,CA
1/11/2021 17:48,1088,28.54,65,UK
4/8/2020 4:44,1033,33.95,77,DE
11/17/2023 2:17,1065,26.7,25,CA
1/10/2023 3:37,1097,48.51,3,AU
10/17/2022 21:31,,,,US
10/7/2020 12:54,1047,23.19,72,DE
3/23/2023 18:33,1062,47.56,66,CA
3/15/2021 17:56,1082,34.04,8,CA
8/15/2022 20:43,1021,34.58,15,AU
6/6/2020 6:06,1032,24.46,36,UK
9/22/2021 5:47,1047,36.75,38,AU
12/27/2022 12:13,1093,23.17,70,US
7/10/2022 14:14,1027,27.31,6,AU
7/24/2020 16:36,1022,22.61,70,DE
3/27/2022 22:21,1018,28.29,75,US
9/14/2023 13:11,1068,40.1,97,DE
1/24/2023 1:20,1035,35.89,25,AU
11/3/2022 7:34,1024,29.18,73,UK
12/28/2022 16:26,1021,38.73,53,CA
2/27/2022 11:33,1041,21.61,78,DE
10/25/2020 18:04,1008,48.48,51,US
5/19/2023 14:42,1008,22.48,91,US
4/14/2020 22:17,1026,47.43,98,UK
1/5/2021 21:49,1055,39.76,16,AU
5/18/2020 4:12,1018,36.28,82,US
9/9/2022 0:22,1040,27.25,33,CA
11/9/2022 20:00,1028,26.84,63,UK
4/13/2022 5:13,1072,36.75,8,AU
1/17/2020 1:02,1080,35.99,71,AU
2/24/2023 15:13,1037,37.88,97,US
12/21/2023 7:48,1068,36.16,60,UK
2/21/2020 16:00,1080,27.07,3,UK
3/11/2021 20:06,1007,25.11,34,US
12/15/2022 8:38,1071,48.77,91,DE
6/22/2022 21:57,1067,20.76,19,US
9/8/2020 22:58,1082,23.71,69,DE
2/21/2021 12:18,1045,27.14,50,CA
6/29/2023 5:26,1098,40.75,61,DE
5/31/2021 5:12,1007,37.8,17,AU
3/25/2022 8:57,1049,41.29,5,DE
8/6/2020 2:34,1075,43.28,76,DE
10/5/2021 19:52,1042,43.04,94,UK
9/22/2023 12:02,1079,29.41,12,DE
9/20/2020 3:01,1077,37.13,91,DE
7/9/2020 17:29,1006,39.13,94,AU
10/1/2021 13:26,1079,45.23,74,UK
9/6/2023 8:55,1045,22.31,75,US
7/13/2022 12:42,1064,23.36,81,AU
5/29/2022 4:15,1088,46.71,97,CA
3/9/2020 20:32,1034,28.12,18,US
2/5/2021 23:29,1036,32.79,60,DE
2/5/2021 23:59,1025,48.58,26,UK
2/5/2020 19:06,1073,42.57,64,AU
12/10/2021 17:35,1077,36.26,7,US
1/25/2020 3:33,1011,37.91,46,AU
9/14/2021 23:50,1057,41.71,88,UK
9/8/2021 17:21,1083,40.71,13,CA
1/20/2020 17:48,1022,25.99,94,US
6/22/2022 14:27,1048,28.63,43,CA
9/29/2022 16:08,1006,39.64,73,AU
3/9/2022 7:49,1059,36.94,78,DE
9/1/2023 6:44,1031,45.17,17,US
7/28/2022 21:45,1089,24.58,55,AU
2/12/2022 15:57,1020,34.6,70,CA
11/11/2021 5:09,1046,31.28,70,UK
3/28/2023 6:58,1024,20.97,87,AU
11/18/2022 23:30,1032,48.78,2,DE
8/26/2020 14:05,1012,21.74,6,DE
3/29/2022 6:38,1012,37.39,2,DE
10/2/2023 10:08,1024,44.16,25,DE
8/13/2021 8:08,1067,20.67,24,UK
4/10/2022 5:40,1080,25.81,64,DE
5/15/2021 15:30,1040,23.84,40,DE
8/23/2022 20:36,1048,26.39,52,US
9/1/2020 11:40,1089,35.27,82,DE
12/1/2022 7:33,1077,25.88,26,UK
7/1/2023 11:38,1002,33.26,54,US
5/25/2023 0:09,1089,29.92,13,CA
11/14/2023 5:00,1042,35.22,55,UK
5/24/2023 23:17,1081,20.39,6,DE
6/5/2023 5:39,1020,38.86,87,CA
1/28/2020 21:27,1018,24.69,85,AU
12/31/2021 11:47,1095,40.3,92,AU
11/9/2022 20:16,1007,30.01,16,AU
1/18/2021 6:53,1041,36.92,77,CA
10/15/2022 9:08,1025,27.42,94,US
7/12/2022 7:20,1098,47.38,81,US
3/31/2023 10:49,1015,25.59,97,US
1/12/2021 18:10,1033,41.91,96,UK
1/22/2020 12:12,1047,28.73,11,DE
9/28/2021 23:04,1075,27.54,84,CA
2/12/2023 16:46,1095,26.45,92,AU
11/9/2020 0:13,1060,21.79,97,UK
9/16/2020 22:02,1013,33.6,39,AU
8/30/2020 8:14,1098,27.95,86,AU
4/13/2021 12:01,1048,38.37,14,UK
4/26/2023 4:59,1045,48.21,86,UK
10/4/2023 16:12,1009,29.73,71,UK
12/21/2021 4:57,1083,30.11,99,DE
11/22/2022 22:03,1073,46.67,99,UK
11/28/2021 23:11,1039,23.65,49,UK
10/12/2020 20:55,1077,38.19,44,AU
12/30/2020 10:32,1062,25.43,42,DE
3/9/2021 20:12,1099,45.83,34,UK
1/19/2020 7:26,1031,48.06,32,US
10/16/2020 23:15,1090,43.28,89,UK
3/24/2021 21:56,1083,40.19,34,UK
2/15/2022 0:01,1011,30.95,53,AU
10/20/2022 18:45,1067,23.3,54,CA
6/12/2022 8:40,1087,22.76,87,US
10/31/2020 12:05,1048,34.96,21,US
9/24/2022 2:32,1014,30.41,35,AU
1/16/2020 11:01,1092,46.22,98,AU
5/4/2023 11:14,1077,27.85,51,DE
10/17/2020 5:01,1084,47.03,64,DE
4/1/2023 11:40,1045,21.89,89,AU
4/14/2022 7:13,1076,47.65,87,CA
10/20/2020 20:15,1082,34,18,DE
1/14/2020 7:45,1035,29.36,74,DE
10/14/2021 1:24,1034,32.45,18,DE
1/21/2023 11:57,1047,25.54,28,AU
2/24/2020 6:56,1100,26.17,83,AU
12/1/2023 19:24,1055,41.83,51,UK
7/25/2020 22:01,1074,35.77,73,DE
9/7/2020 19:29,1070,41.21,99,UK
3/16/2023 23:34,1030,21.1,39,US
10/21/2023 10:42,1100,40.64,96,AU
9/2/2020 21:59,1035,32.86,69,DE
12/13/2022 20:35,1100,28.59,83,DE
5/14/2020 5:01,1048,32.9,64,DE
2/14/2021 22:17,1072,33.24,49,AU
6/25/2022 20:55,1073,47.56,63,CA
3/25/2021 7:38,1023,48.7,74,AU
12/28/2021 0:56,1046,22.21,94,UK
7/5/2022 2:36,1056,22.28,45,DE
11/25/2022 8:58,1083,45.24,75,AU
7/2/2023 9:34,1091,30.47,66,UK
10/26/2021 8:21,1041,37.12,81,CA
8/3/2023 12:32,1073,41.23,77,DE
11/18/2021 19:06,1028,28.54,52,CA
6/30/2022 1:42,1017,47.34,15,DE
5/16/2023 0:58,1003,31.52,26,AU
1/17/2023 15:48,1056,25.4,2,AU
10/22/2023 7:39,1073,35.5,22,CA
8/30/2021 5:54,1012,38.64,87,UK
10/23/2022 14:11,1034,41.58,77,US
9/1/2023 16:09,1053,25.49,67,UK
11/19/2021 15:34,1086,33.36,57,US
9/12/2022 16:34,1050,31.97,42,CA
10/13/2022 14:52,1088,24.26,35,US
2/22/2023 2:48,1079,23.75,12,UK
5/31/2022 21:55,1005,35.2,97,DE
12/27/2021 8:32,1047,44.41,66,DE
10/8/2021 16:35,1090,27.96,78,AU
1/24/2022 22:35,1025,48.11,20,UK
5/25/2021 18:31,1100,42.85,8,US
7/4/2022 20:43,1014,38.37,36,DE
3/8/2021 20:13,1010,31.02,92,US
9/12/2023 17:24,1065,21.2,96,US
4/18/2020 8:04,1086,47.82,19,US
2/11/2021 17:11,1065,27.94,60,CA
5/10/2022 18:48,1093,33.41,35,CA
11/15/2021 22:08,1021,22.21,38,AU
8/5/2021 5:38,1028,22.27,3,US
2/29/2020 3:08,1079,22.84,47,US
1/24/2022 1:29,1068,25.32,30,CA
9/25/2020 22:43,1089,36.99,53,AU
3/17/2022 23:58,1073,20.83,10,AU
6/5/2022 6:32,1011,23.63,74,US
11/9/2022 23:41,1033,27.39,9,UK
2/22/2023 21:21,1050,32.09,17,DE
8/9/2022 2:24,1015,37.23,7,UK
10/23/2023 8:51,1050,32.97,23,CA
6/15/2021 23:39,1031,20.42,22,CA
4/25/2020 19:25,1088,20.46,10,UK
7/9/2022 5:45,1092,35.86,30,CA
5/5/2021 16:07,1006,28.62,79,UK
1/12/2023 20:29,1055,29.13,6,AU
7/26/2021 0:11,1036,32.01,2,UK
10/18/2022 2:23,1029,40.94,19,CA
12/25/2022 7:33,1030,40.47,8,UK
5/4/2022 10:52,1015,46.81,53,US
1/20/2021 11:38,1073,32.33,27,US
8/13/2020 12:36,1070,23.92,56,DE
5/13/2022 0:09,1089,30.84,92,DE
8/2/2022 22:28,1065,44.3,88,AU
10/27/2020 5:25,1076,27.33,69,US
3/30/2020 5:13,1084,48.35,72,UK
11/19/2022 20:21,1100,31.45,5,US
7/27/2020 9:53,1060,46.25,29,AU
8/4/2022 19:24,1003,43.5,73,US
6/13/2023 13:41,1065,34.97,3,CA
12/30/2023 16:03,1042,31.89,73,AU
5/23/2023 19:12,1027,29.14,60,US
8/8/2023 5:25,1018,38.63,5,UK
8/27/2021 17:25,1087,20.97,85,UK
12/1/2021 2:56,1057,23.53,17,DE
1/17/2023 2:38,1099,23.18,44,AU
6/29/2021 4:07,1017,39.54,61,CA
1/20/2023 7:29,1045,35.16,95,DE
4/15/2020 11:22,1032,24.62,95,DE
2/10/2021 11:27,1054,47.96,72,US
6/8/2022 21:40,1054,37.68,19,DE
